DriverId,Rating,Position,TeamId,Engine,Season
stroll,78.0,9.0,aston_martin,mercedes,2020
perez,85.0,10.0,aston_martin,mercedes,2020
kvyat,80.0,11.0,rb,rbpt,2020
raikkonen,87.0,12.0,sauber,ferrari,2020
vettel,89.0,13.0,ferrari,ferrari,2020
leclerc,86.0,14.0,ferrari,ferrari,2020
grosjean,80.0,15.0,haas,ferrari,2020
latifi,64.0,16.0,williams,mercedes,2020
kevin_magnussen,78.0,17.0,haas,ferrari,2020
giovinazzi,73.0,18.0,sauber,ferrari,2020
russell,75.0,19.0,williams,mercedes,2020
sainz,82.0,20.0,mclaren,renault,2020
gasly,80.0,1.0,rb,rbpt,2020
sainz,82.0,2.0,mclaren,renault,2020
stroll,78.0,3.0,aston_martin,mercedes,2020
norris,79.0,4.0,mclaren,renault,2020
bottas,90.0,5.0,mercedes,mercedes,2020
ricciardo,87.0,6.0,alpine,renault,2020
hamilton,94.0,7.0,mercedes,mercedes,2020
ocon,80.0,8.0,alpine,renault,2020
kvyat,80.0,9.0,rb,rbpt,2020
perez,85.0,10.0,aston_martin,mercedes,2020
latifi,64.0,11.0,williams,mercedes,2020
grosjean,80.0,12.0,haas,ferrari,2020
raikkonen,87.0,13.0,sauber,ferrari,2020
russell,75.0,14.0,williams,mercedes,2020
albon,79.0,15.0,red_bull,rbpt,2020
giovinazzi,73.0,16.0,sauber,ferrari,2020
max_verstappen,90.0,17.0,red_bull,rbpt,2020
leclerc,86.0,18.0,ferrari,ferrari,2020
kevin_magnussen,78.0,19.0,haas,ferrari,2020
vettel,89.0,20.0,ferrari,ferrari,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
bottas,90.0,2.0,mercedes,mercedes,2020
albon,79.0,3.0,red_bull,rbpt,2020
ricciardo,87.0,4.0,alpine,renault,2020
perez,85.0,5.0,aston_martin,mercedes,2020
norris,79.0,6.0,mclaren,renault,2020
kvyat,80.0,7.0,rb,rbpt,2020
leclerc,86.0,8.0,ferrari,ferrari,2020
raikkonen,87.0,9.0,sauber,ferrari,2020
vettel,89.0,10.0,ferrari,ferrari,2020
russell,75.0,11.0,williams,mercedes,2020
grosjean,80.0,12.0,haas,ferrari,2020
stroll,78.0,13.0,aston_martin,mercedes,2020
ocon,80.0,14.0,alpine,renault,2020
latifi,64.0,15.0,williams,mercedes,2020
kevin_magnussen,78.0,16.0,haas,ferrari,2020
giovinazzi,73.0,17.0,sauber,ferrari,2020
sainz,82.0,18.0,mclaren,renault,2020
max_verstappen,90.0,19.0,red_bull,rbpt,2020
gasly,80.0,20.0,rb,rbpt,2020
bottas,90.0,1.0,mercedes,mercedes,2020
max_verstappen,90.0,2.0,red_bull,rbpt,2020
hamilton,94.0,3.0,mercedes,mercedes,2020
perez,85.0,4.0,aston_martin,mercedes,2020
ricciardo,87.0,5.0,alpine,renault,2020
leclerc,86.0,6.0,ferrari,ferrari,2020
ocon,80.0,7.0,alpine,renault,2020
kvyat,80.0,8.0,rb,rbpt,2020
gasly,80.0,9.0,rb,rbpt,2020
albon,79.0,10.0,red_bull,rbpt,2020
giovinazzi,73.0,11.0,sauber,ferrari,2020
kevin_magnussen,78.0,12.0,haas,ferrari,2020
vettel,89.0,13.0,ferrari,ferrari,2020
raikkonen,87.0,14.0,sauber,ferrari,2020
norris,79.0,15.0,mclaren,renault,2020
latifi,64.0,16.0,williams,mercedes,2020
grosjean,80.0,17.0,haas,ferrari,2020
russell,75.0,18.0,williams,mercedes,2020
sainz,82.0,19.0,mclaren,renault,2020
stroll,78.0,20.0,aston_martin,mercedes,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
max_verstappen,90.0,2.0,red_bull,rbpt,2020
ricciardo,87.0,3.0,alpine,renault,2020
perez,85.0,4.0,aston_martin,mercedes,2020
sainz,82.0,5.0,mclaren,renault,2020
gasly,80.0,6.0,rb,rbpt,2020
leclerc,86.0,7.0,ferrari,ferrari,2020
hulkenberg,,8.0,aston_martin,mercedes,2020
grosjean,80.0,9.0,haas,ferrari,2020
giovinazzi,73.0,10.0,sauber,ferrari,2020
vettel,89.0,11.0,ferrari,ferrari,2020
raikkonen,87.0,12.0,sauber,ferrari,2020
kevin_magnussen,78.0,13.0,haas,ferrari,2020
latifi,64.0,14.0,williams,mercedes,2020
kvyat,80.0,15.0,rb,rbpt,2020
norris,79.0,16.0,mclaren,renault,2020
albon,79.0,17.0,red_bull,rbpt,2020
ocon,80.0,18.0,alpine,renault,2020
bottas,90.0,19.0,mercedes,mercedes,2020
russell,75.0,20.0,williams,mercedes,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
bottas,90.0,2.0,mercedes,mercedes,2020
max_verstappen,90.0,3.0,red_bull,rbpt,2020
leclerc,86.0,4.0,ferrari,ferrari,2020
gasly,80.0,5.0,rb,rbpt,2020
sainz,82.0,6.0,mclaren,renault,2020
perez,85.0,7.0,aston_martin,mercedes,2020
ocon,80.0,8.0,alpine,renault,2020
ricciardo,87.0,9.0,alpine,renault,2020
vettel,89.0,10.0,ferrari,ferrari,2020
raikkonen,87.0,11.0,sauber,ferrari,2020
albon,79.0,12.0,red_bull,rbpt,2020
norris,79.0,13.0,mclaren,renault,2020
russell,75.0,14.0,williams,mercedes,2020
giovinazzi,73.0,15.0,sauber,ferrari,2020
kevin_magnussen,78.0,16.0,haas,ferrari,2020
grosjean,80.0,17.0,haas,ferrari,2020
latifi,64.0,18.0,williams,mercedes,2020
kvyat,80.0,19.0,rb,rbpt,2020
stroll,78.0,20.0,aston_martin,mercedes,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
bottas,90.0,2.0,mercedes,mercedes,2020
ricciardo,87.0,3.0,alpine,renault,2020
kvyat,80.0,4.0,rb,rbpt,2020
leclerc,86.0,5.0,ferrari,ferrari,2020
perez,85.0,6.0,aston_martin,mercedes,2020
sainz,82.0,7.0,mclaren,renault,2020
norris,79.0,8.0,mclaren,renault,2020
raikkonen,87.0,9.0,sauber,ferrari,2020
giovinazzi,73.0,10.0,sauber,ferrari,2020
latifi,64.0,11.0,williams,mercedes,2020
vettel,89.0,12.0,ferrari,ferrari,2020
stroll,78.0,13.0,aston_martin,mercedes,2020
grosjean,80.0,14.0,haas,ferrari,2020
albon,79.0,15.0,red_bull,rbpt,2020
russell,75.0,16.0,williams,mercedes,2020
max_verstappen,90.0,17.0,red_bull,rbpt,2020
kevin_magnussen,78.0,18.0,haas,ferrari,2020
ocon,80.0,19.0,alpine,renault,2020
gasly,80.0,20.0,rb,rbpt,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
perez,85.0,2.0,aston_martin,mercedes,2020
vettel,89.0,3.0,ferrari,ferrari,2020
leclerc,86.0,4.0,ferrari,ferrari,2020
sainz,82.0,5.0,mclaren,renault,2020
max_verstappen,90.0,6.0,red_bull,rbpt,2020
albon,79.0,7.0,red_bull,rbpt,2020
norris,79.0,8.0,mclaren,renault,2020
stroll,78.0,9.0,aston_martin,mercedes,2020
ricciardo,87.0,10.0,alpine,renault,2020
ocon,80.0,11.0,alpine,renault,2020
kvyat,80.0,12.0,rb,rbpt,2020
gasly,80.0,13.0,rb,rbpt,2020
bottas,90.0,14.0,mercedes,mercedes,2020
raikkonen,87.0,15.0,sauber,ferrari,2020
russell,75.0,16.0,williams,mercedes,2020
kevin_magnussen,78.0,17.0,haas,ferrari,2020
grosjean,80.0,18.0,haas,ferrari,2020
latifi,64.0,19.0,williams,mercedes,2020
giovinazzi,73.0,20.0,sauber,ferrari,2020
hamilton,94.0,1.0,mercedes,mercedes,2020
max_verstappen,90.0,2.0,red_bull,rbpt,2020
albon,79.0,3.0,red_bull,rbpt,2020
norris,79.0,4.0,mclaren,renault,2020
sainz,82.0,5.0,mclaren,renault,2020
gasly,80.0,6.0,rb,rbpt,2020
ricciardo,87.0,7.0,alpine,renault,2020
bottas,90.0,8.0,mercedes,mercedes,2020
ocon,80.0,9.0,alpine,renault,2020
leclerc,86.0,10.0,ferrari,ferrari,2020
kvyat,80.0,11.0,rb,rbpt,2020
russell,75.0,12.0,williams,mercedes,2020
vettel,89.0,13.0,ferrari,ferrari,2020
latifi,64.0,14.0,williams,mercedes,2020
raikkonen,87.0,15.0,sauber,ferrari,2020
giovinazzi,73.0,16.0,sauber,ferrari,2020
kevin_magnussen,78.0,17.0,haas,ferrari,2020
perez,85.0,18.0,aston_martin,mercedes,2020
stroll,78.0,19.0,aston_martin,mercedes,2020
grosjean,80.0,20.0,haas,ferrari,2020
perez,85.0,1.0,aston_martin,mercedes,2020
ocon,80.0,2.0,alpine,renault,2020
stroll,78.0,3.0,aston_martin,mercedes,2020
sainz,82.0,4.0,mclaren,renault,2020
ricciardo,87.0,5.0,alpine,renault,2020
albon,79.0,6.0,red_bull,rbpt,2020
kvyat,80.0,7.0,rb,rbpt,2020
bottas,90.0,8.0,mercedes,mercedes,2020
russell,75.0,9.0,mercedes,mercedes,2020
norris,79.0,10.0,mclaren,renault,2020
gasly,80.0,11.0,rb,rbpt,2020
vettel,89.0,12.0,ferrari,ferrari,2020
giovinazzi,73.0,13.0,sauber,ferrari,2020
raikkonen,87.0,14.0,sauber,ferrari,2020
kevin_magnussen,78.0,15.0,haas,ferrari,2020
aitken,,16.0,williams,mercedes,2020
pietro_fittipaldi,,17.0,haas,ferrari,2020
latifi,64.0,18.0,williams,mercedes,2020
max_verstappen,90.0,19.0,red_bull,rbpt,2020
leclerc,86.0,20.0,ferrari,ferrari,2020
max_verstappen,90.0,1.0,red_bull,rbpt,2020
bottas,90.0,2.0,mercedes,mercedes,2020
hamilton,94.0,3.0,mercedes,mercedes,2020
albon,79.0,4.0,red_bull,rbpt,2020
